tahun,bulan,kecamatan,curah_hujan,suhu,kelembapan
2023,Juni,BATUCEPER,66,29.8,72
2023,Juni,BENDA,32,30.9,69
2023,Juni,CIBODAS,87,29.7,77
2023,Juni,CIPONDOH,75,30.3,77
2023,Juni,JATIUWUNG,42,30.1,73
2023,Juni,KARANG TENGAH,69,30.0,77
2023,Juni,KARAWACI,86,29.9,70
2023,Juni,LARANGAN,53,30.1,75
2023,Juni,NEGLASARI,26,30.5,68
2023,Juni,PERIUK,77,30.4,74
2023,Juni,PINANG,66,29.7,74
2023,Juni,TANGERANG,45,30.2,77
2023,Juni,CILEDUG,55,29.7,78
2023,Juli,BATUCEPER,25,31.3,68
2023,Juli,BENDA,5,31.0,69
2023,Juli,CIBODAS,46,30.9,66
2023,Juli,CIPONDOH,50,30.3,73
2023,Juli,JATIUWUNG,26,31.5,70
2023,Juli,KARANG TENGAH,45,30.4,74
2023,Juli,KARAWACI,62,31.1,67
2023,Juli,LARANGAN,42,30.4,66
2023,Juli,NEGLASARI,37,31.5,61
2023,Juli,PERIUK,70,30.7,64
2023,Juli,PINANG,72,30.4,75
2023,Juli,TANGERANG,31,30.2,73
2023,Juli,CILEDUG,34,31.0,67
2023,Agustus,BATUCEPER,58,30.6,66
2023,Agustus,BENDA,15,31.0,63
2023,Agustus,CIBODAS,65,31.0,65
2023,Agustus,CIPONDOH,61,31.0,73
2023,Agustus,JATIUWUNG,25,31.9,64
2023,Agustus,KARANG TENGAH,64,31.2,67
2023,Agustus,KARAWACI,31,31.1,67
2023,Agustus,LARANGAN,54,30.8,65
2023,Agustus,NEGLASARI,0,31.5,60
2023,Agustus,PERIUK,22,31.3,70
2023,Agustus,PINANG,46,30.4,70
2023,Agustus,TANGERANG,20,31.6,68
2023,Agustus,CILEDUG,42,30.6,72
2023,September,BATUCEPER,85,31.2,73
2023,September,BENDA,10,32.0,70
2023,September,CIBODAS,67,31.7,67
2023,September,CIPONDOH,63,30.8,68
2023,September,JATIUWUNG,72,31.8,67
2023,September,KARANG TENGAH,60,31.3,71
2023,September,KARAWACI,48,31.7,69
2023,September,LARANGAN,77,31.3,66
2023,September,NEGLASARI,20,32.1,65
2023,September,PERIUK,40,31.0,66
2023,September,PINANG,90,31.7,69
2023,September,TANGERANG,83,31.3,71
2023,September,CILEDUG,79,30.7,67
2023,Oktober,BATUCEPER,149,31.1,79
2023,Oktober,BENDA,77,31.4,76
2023,Oktober,CIBODAS,122,30.3,72
2023,Oktober,CIPONDOH,139,30.1,73
2023,Oktober,JATIUWUNG,112,30.6,72
2023,Oktober,KARANG TENGAH,149,29.9,80
2023,Oktober,KARAWACI,126,31.3,73
2023,Oktober,LARANGAN,125,30.9,74
2023,Oktober,NEGLASARI,106,30.5,72
2023,Oktober,PERIUK,153,31.3,73
2023,Oktober,PINANG,132,29.9,74
2023,Oktober,TANGERANG,125,31.0,78
2023,Oktober,CILEDUG,123,30.1,79
2023,November,BATUCEPER,227,29.3,81
2023,November,BENDA,189,29.3,78
2023,November,CIBODAS,238,29.1,80
2023,November,CIPONDOH,269,28.9,88
2023,November,JATIUWUNG,215,30.0,84
2023,November,KARANG TENGAH,228,29.8,80
2023,November,KARAWACI,216,29.2,82
2023,November,LARANGAN,212,28.9,85
2023,November,NEGLASARI,202,30.3,79
2023,November,PERIUK,230,29.8,85
2023,November,PINANG,222,29.1,83
2023,November,TANGERANG,217,29.0,84
2023,November,CILEDUG,209,29.4,87
2023,Desember,BATUCEPER,328,28.8,86
2023,Desember,BENDA,278,28.8,85
2023,Desember,CIBODAS,332,28.1,85
2023,Desember,CIPONDOH,346,28.7,93
2023,Desember,JATIUWUNG,289,29.0,86
2023,Desember,KARANG TENGAH,312,28.5,92
2023,Desember,KARAWACI,288,28.2,89
2023,Desember,LARANGAN,333,28.7,86
2023,Desember,NEGLASARI,299,29.1,85
2023,Desember,PERIUK,318,29.1,86
2023,Desember,PINANG,313,27.9,90
2023,Desember,TANGERANG,310,28.4,86
2023,Desember,CILEDUG,321,28.4,86
2024,Januari,BATUCEPER,337,27.6,91
2024,Januari,BENDA,307,28.7,85
2024,Januari,CIBODAS,308,28.3,87
2024,Januari,CIPONDOH,353,27.6,88
2024,Januari,JATIUWUNG,289,27.8,84
2024,Januari,KARANG TENGAH,327,28.0,85
2024,Januari,KARAWACI,319,28.1,86
2024,Januari,LARANGAN,345,28.2,91
2024,Januari,NEGLASARI,295,28.3,79
2024,Januari,PERIUK,341,28.7,83
2024,Januari,PINANG,354,27.7,87
2024,Januari,TANGERANG,335,28.1,83
2024,Januari,CILEDUG,334,27.7,85
2024,Februari,BATUCEPER,294,27.9,88
2024,Februari,BENDA,277,28.7,86
2024,Februari,CIBODAS,311,27.9,89
2024,Februari,CIPONDOH,319,28.4,91
2024,Februari,JATIUWUNG,277,29.0,87
2024,Februari,KARANG TENGAH,295,28.6,89
2024,Februari,KARAWACI,288,28.1,84
2024,Februari,LARANGAN,310,27.9,90
2024,Februari,NEGLASARI,271,29.0,81
2024,Februari,PERIUK,291,28.0,84
2024,Februari,PINANG,290,27.7,88
2024,Februari,TANGERANG,295,27.8,83
2024,Februari,CILEDUG,283,28.1,84
2024,Maret,BATUCEPER,260,28.4,85
2024,Maret,BENDA,211,28.9,83
2024,Maret,CIBODAS,249,28.0,86
2024,Maret,CIPONDOH,254,28.9,81
2024,Maret,JATIUWUNG,248,29.1,84
2024,Maret,KARANG TENGAH,217,29.0,84
2024,Maret,KARAWACI,258,28.7,85
2024,Maret,LARANGAN,254,28.9,88
2024,Maret,NEGLASARI,228,29.7,82
2024,Maret,PERIUK,227,28.6,85
2024,Maret,PINANG,226,28.3,87
2024,Maret,TANGERANG,257,28.3,86
2024,Maret,CILEDUG,227,29.2,88
2024,April,BATUCEPER,146,29.9,76
2024,April,BENDA,120,30.0,75
2024,April,CIBODAS,182,28.8,81
2024,April,CIPONDOH,184,28.9,85
2024,April,JATIUWUNG,150,29.5,80
2024,April,KARANG TENGAH,164,29.5,83
2024,April,KARAWACI,156,29.9,83
2024,April,LARANGAN,151,29.6,77
2024,April,NEGLASARI,142,29.6,73
2024,April,PERIUK,192,30.1,75
2024,April,PINANG,203,28.5,81
2024,April,TANGERANG,153,29.8,78
2024,April,CILEDUG,164,28.9,78
2024,Mei,BATUCEPER,121,30.6,79
2024,Mei,BENDA,99,30.2,74
2024,Mei,CIBODAS,103,30.0,74
2024,Mei,CIPONDOH,149,30.2,78
2024,Mei,JATIUWUNG,76,30.5,74
2024,Mei,KARANG TENGAH,123,30.1,79
2024,Mei,KARAWACI,105,30.7,75
2024,Mei,LARANGAN,94,30.1,76
2024,Mei,NEGLASARI,66,30.8,72
2024,Mei,PERIUK,126,30.4,72
2024,Mei,PINANG,145,30.4,74
2024,Mei,TANGERANG,103,30.1,77
2024,Mei,CILEDUG,93,30.0,78
2024,Juni,BATUCEPER,35,30.9,75
2024,Juni,BENDA,11,30.8,70
2024,Juni,CIBODAS,83,30.8,76
2024,Juni,CIPONDOH,95,29.8,72
2024,Juni,JATIUWUNG,66,30.8,70
2024,Juni,KARANG TENGAH,76,30.7,77
2024,Juni,KARAWACI,79,30.6,74
2024,Juni,LARANGAN,86,30.5,74
2024,Juni,NEGLASARI,25,31.4,65
2024,Juni,PERIUK,50,31.2,70
2024,Juni,PINANG,93,30.2,76
2024,Juni,TANGERANG,52,29.9,73
2024,Juni,CILEDUG,50,30.4,74
2024,Juli,BATUCEPER,31,30.7,68
2024,Juli,BENDA,20,30.7,64
2024,Juli,CIBODAS,28,30.4,71
2024,Juli,CIPONDOH,61,30.7,69
2024,Juli,JATIUWUNG,44,31.2,69
2024,Juli,KARANG TENGAH,45,31.1,66
2024,Juli,KARAWACI,28,30.7,67
2024,Juli,LARANGAN,39,31.0,70
2024,Juli,NEGLASARI,20,31.5,65
2024,Juli,PERIUK,40,31.7,71
2024,Juli,PINANG,46,30.4,73
2024,Juli,TANGERANG,28,30.7,67
2024,Juli,CILEDUG,26,31.1,70
2024,Agustus,BATUCEPER,17,31.6,64
2024,Agustus,BENDA,0,31.4,66
2024,Agustus,CIBODAS,35,31.4,71
2024,Agustus,CIPONDOH,63,30.7,65
2024,Agustus,JATIUWUNG,7,31.4,65
2024,Agustus,KARANG TENGAH,23,30.9,71
2024,Agustus,KARAWACI,13,31.1,62
2024,Agustus,LARANGAN,50,31.0,65
2024,Agustus,NEGLASARI,25,32.2,65
2024,Agustus,PERIUK,14,31.9,65
2024,Agustus,PINANG,50,31.0,69
2024,Agustus,TANGERANG,17,31.9,66
2024,Agustus,CILEDUG,44,30.7,64
2024,September,BATUCEPER,55,31.6,64
2024,September,BENDA,9,31.6,65
2024,September,CIBODAS,43,32.0,66
2024,September,CIPONDOH,80,31.6,69
2024,September,JATIUWUNG,64,31.9,69
2024,September,KARANG TENGAH,60,31.2,71
2024,September,KARAWACI,44,31.8,64
2024,September,LARANGAN,74,32.1,66
2024,September,NEGLASARI,53,31.7,63
2024,September,PERIUK,44,32.0,65
2024,September,PINANG,55,30.9,67
2024,September,TANGERANG,36,31.0,71
2024,September,CILEDUG,78,31.6,69
2024,Oktober,BATUCEPER,97,30.5,74
2024,Oktober,BENDA,109,31.6,68
2024,Oktober,CIBODAS,146,30.3,75
2024,Oktober,CIPONDOH,160,30.8,75
2024,Oktober,JATIUWUNG,107,30.6,71
2024,Oktober,KARANG TENGAH,138,30.2,75
2024,Oktober,KARAWACI,99,30.4,72
2024,Oktober,LARANGAN,150,30.5,75
2024,Oktober,NEGLASARI,98,30.8,70
2024,Oktober,PERIUK,137,30.9,73
2024,Oktober,PINANG,137,30.5,79
2024,Oktober,TANGERANG,96,30.9,76
2024,Oktober,CILEDUG,146,30.5,75
2024,November,BATUCEPER,196,29.2,77
2024,November,BENDA,213,30.3,78
2024,November,CIBODAS,239,28.9,80
2024,November,CIPONDOH,240,29.4,86
2024,November,JATIUWUNG,197,29.6,81
2024,November,KARANG TENGAH,237,29.9,79
2024,November,KARAWACI,220,29.6,82
2024,November,LARANGAN,220,29.8,80
2024,November,NEGLASARI,191,30.1,80
2024,November,PERIUK,211,30.1,82
2024,November,PINANG,253,29.5,86
2024,November,TANGERANG,196,29.5,82
2024,November,CILEDUG,206,30.2,84
2024,Desember,BATUCEPER,307,29.1,82
2024,Desember,BENDA,287,29.5,86
2024,Desember,CIBODAS,309,28.0,91
2024,Desember,CIPONDOH,313,28.5,91
2024,Desember,JATIUWUNG,300,28.9,80
2024,Desember,KARANG TENGAH,290,28.2,85
2024,Desember,KARAWACI,288,28.7,89
2024,Desember,LARANGAN,287,28.0,86
2024,Desember,NEGLASARI,295,28.8,86
2024,Desember,PERIUK,273,29.0,82
2024,Desember,PINANG,299,29.0,85
2024,Desember,TANGERANG,300,29.2,84
2024,Desember,CILEDUG,310,29.1,87
2025,Januari,BATUCEPER,349,28.5,91
2025,Januari,BENDA,317,29.3,85
2025,Januari,CIBODAS,354,28.2,92
2025,Januari,CIPONDOH,344,28.5,95
2025,Januari,JATIUWUNG,349,29.1,84
2025,Januari,KARANG TENGAH,336,28.4,92
2025,Januari,KARAWACI,333,28.9,93
2025,Januari,LARANGAN,339,28.6,90
2025,Januari,NEGLASARI,338,28.6,88
2025,Januari,PERIUK,324,28.4,91
2025,Januari,PINANG,349,27.8,95
2025,Januari,TANGERANG,337,28.2,90
2025,Januari,CILEDUG,333,28.8,89
2025,Februari,BATUCEPER,323,28.4,89
2025,Februari,BENDA,259,28.7,87
2025,Februari,CIBODAS,340,28.8,90
2025,Februari,CIPONDOH,326,28.8,87
2025,Februari,JATIUWUNG,303,29.4,83
2025,Februari,KARANG TENGAH,321,28.9,89
2025,Februari,KARAWACI,288,29.0,90
2025,Februari,LARANGAN,298,28.4,91
2025,Februari,NEGLASARI,262,29.3,85
2025,Februari,PERIUK,326,29.3,83
2025,Februari,PINANG,327,28.5,89
2025,Februari,TANGERANG,304,28.6,89
2025,Februari,CILEDUG,332,27.9,89
2025,Maret,BATUCEPER,280,29.3,87
2025,Maret,BENDA,227,29.5,85
2025,Maret,CIBODAS,279,28.1,83
2025,Maret,CIPONDOH,267,28.8,87
2025,Maret,JATIUWUNG,236,29.5,85
2025,Maret,KARANG TENGAH,245,29.0,83
2025,Maret,KARAWACI,260,28.6,85
2025,Maret,LARANGAN,243,28.3,82
2025,Maret,NEGLASARI,230,29.2,83
2025,Maret,PERIUK,244,28.8,86
2025,Maret,PINANG,283,28.8,85
2025,Maret,TANGERANG,243,28.5,87
2025,Maret,CILEDUG,280,29.0,89
2025,April,BATUCEPER,204,29.2,85
2025,April,BENDA,177,29.7,79
2025,April,CIBODAS,217,28.8,86
2025,April,CIPONDOH,200,29.5,82
2025,April,JATIUWUNG,156,29.8,81
2025,April,KARANG TENGAH,206,29.2,85
2025,April,KARAWACI,206,29.4,82
2025,April,LARANGAN,184,30.1,86
2025,April,NEGLASARI,148,29.8,79
2025,April,PERIUK,201,29.6,81
2025,April,PINANG,178,29.9,86
2025,April,TANGERANG,180,29.0,78
2025,April,CILEDUG,209,29.8,83
2025,Mei,BATUCEPER,156,30.7,79
2025,Mei,BENDA,91,30.9,75
2025,Mei,CIBODAS,158,30.4,77
2025,Mei,CIPONDOH,162,29.5,76
2025,Mei,JATIUWUNG,111,30.9,72
2025,Mei,KARANG TENGAH,146,29.9,77
2025,Mei,KARAWACI,107,30.9,79
2025,Mei,LARANGAN,159,30.1,78
2025,Mei,NEGLASARI,90,31.1,75
2025,Mei,PERIUK,138,30.5,77
2025,Mei,PINANG,127,29.7,83
2025,Mei,TANGERANG,121,30.6,79
2025,Mei,CILEDUG,118,30.2,76
2025,Juni,BATUCEPER,66,31.0,73
2025,Juni,BENDA,70,31.4,73
2025,Juni,CIBODAS,100,30.3,77
2025,Juni,CIPONDOH,72,30.1,73
2025,Juni,JATIUWUNG,71,30.8,72
2025,Juni,KARANG TENGAH,96,30.4,76
2025,Juni,KARAWACI,58,31.0,77
2025,Juni,LARANGAN,63,30.7,79
2025,Juni,NEGLASARI,52,31.7,69
2025,Juni,PERIUK,96,30.4,76
2025,Juni,PINANG,111,30.2,78
2025,Juni,TANGERANG,60,30.3,70
2025,Juni,CILEDUG,80,31.2,72
2025,Juli,BATUCEPER,43,30.8,74
2025,Juli,BENDA,15,31.4,68
2025,Juli,CIBODAS,87,31.4,75
2025,Juli,CIPONDOH,78,30.9,70
2025,Juli,JATIUWUNG,48,31.6,71
2025,Juli,KARANG TENGAH,78,30.8,71
2025,Juli,KARAWACI,34,31.4,69
2025,Juli,LARANGAN,70,30.9,70
2025,Juli,NEGLASARI,35,31.1,67
2025,Juli,PERIUK,69,31.8,70
2025,Juli,PINANG,50,30.7,71
2025,Juli,TANGERANG,40,31.6,73
2025,Juli,CILEDUG,46,31.2,67
2025,Agustus,BATUCEPER,35,31.8,67
2025,Agustus,BENDA,10,32.2,64
2025,Agustus,CIBODAS,44,31.7,73
2025,Agustus,CIPONDOH,60,31.3,69
2025,Agustus,JATIUWUNG,38,32.1,62
2025,Agustus,KARANG TENGAH,51,31.7,67
2025,Agustus,KARAWACI,35,31.6,66
2025,Agustus,LARANGAN,44,31.6,65
2025,Agustus,NEGLASARI,15,31.4,63
2025,Agustus,PERIUK,67,31.5,65
2025,Agustus,PINANG,58,30.7,72
2025,Agustus,TANGERANG,61,31.0,65
2025,Agustus,CILEDUG,66,31.3,70
2025,September,BATUCEPER,84,31.9,73
2025,September,BENDA,54,31.9,63
2025,September,CIBODAS,106,31.9,75
2025,September,CIPONDOH,86,31.4,68
2025,September,JATIUWUNG,40,32.7,70
2025,September,KARANG TENGAH,81,31.8,74
2025,September,KARAWACI,92,32.4,67
2025,September,LARANGAN,62,31.5,69
2025,September,NEGLASARI,31,31.9,70
2025,September,PERIUK,95,31.8,73
2025,September,PINANG,80,31.4,74
2025,September,TANGERANG,54,32.2,67
2025,September,CILEDUG,97,31.9,75
2025,Oktober,BATUCEPER,163,31.4,78
2025,Oktober,BENDA,115,31.9,75
2025,Oktober,CIBODAS,146,31.2,79
2025,Oktober,CIPONDOH,158,31.0,79
2025,Oktober,JATIUWUNG,129,31.1,74
2025,Oktober,KARANG TENGAH,142,31.3,80
2025,Oktober,KARAWACI,116,30.6,73
2025,Oktober,LARANGAN,127,30.8,78
2025,Oktober,NEGLASARI,100,31.6,76
2025,Oktober,PERIUK,150,31.0,72
2025,Oktober,PINANG,153,30.5,80
2025,Oktober,TANGERANG,159,30.5,76
2025,Oktober,CILEDUG,159,30.7,74
2025,November,BATUCEPER,253,29.9,81
2025,November,BENDA,229,30.3,77
2025,November,CIBODAS,247,30.1,85
2025,November,CIPONDOH,239,29.9,84
2025,November,JATIUWUNG,229,30.6,85
2025,November,KARANG TENGAH,220,29.8,84
2025,November,KARAWACI,213,29.6,83
2025,November,LARANGAN,243,29.6,82
2025,November,NEGLASARI,201,30.5,81
2025,November,PERIUK,219,29.7,78
2025,November,PINANG,232,29.9,84
2025,November,TANGERANG,237,29.8,84
2025,November,CILEDUG,231,29.6,85
2025,Desember,BATUCEPER,346,29.4,85
2025,Desember,BENDA,270,28.9,81
2025,Desember,CIBODAS,348,28.2,92
2025,Desember,CIPONDOH,354,28.5,93
2025,Desember,JATIUWUNG,308,28.9,90
2025,Desember,KARANG TENGAH,306,28.5,86
2025,Desember,KARAWACI,310,29.2,91
2025,Desember,LARANGAN,335,29.0,85
2025,Desember,NEGLASARI,286,29.3,80
2025,Desember,PERIUK,295,28.7,86
2025,Desember,PINANG,356,28.2,90
2025,Desember,TANGERANG,311,28.7,84
2025,Desember,CILEDUG,332,29.1,87
